epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,524.929,1.24406,3.82322,1.57261,0.00587,0.76824,0.09682,0.04725,1.16103,4.39417,1.65373,0.00026361,0.00026361,0.00026361
2,914.146,1.25526,3.20983,1.58451,0.6788,0.05344,0.11951,0.05543,1.52749,4.14171,1.92011,0.000525691,0.000525691,0.000525691
3,1300.11,1.35557,2.9908,1.63922,0.29487,0.2067,0.13827,0.04544,1.95425,4.2233,2.41529,0.000776973,0.000776973,0.000776973
4,1689.55,1.39501,2.97297,1.70556,0.10191,0.31564,0.08397,0.03765,2.1942,5.10214,2.53697,0.000855005,0.000855005,0.000855005
5,2075.86,1.37696,2.92439,1.67779,0.38943,0.18414,0.1481,0.06625,1.93583,4.216,2.30058,0.000837007,0.000837007,0.000837007
6,2463.19,1.38216,2.82812,1.69355,0.28854,0.21749,0.17723,0.09551,1.77435,4.35751,2.31561,0.000819009,0.000819009,0.000819009
7,2845.53,1.36862,2.72417,1.66674,0.53647,0.21371,0.21078,0.09807,1.81857,4.15606,2.44157,0.000801011,0.000801011,0.000801011
8,3264.55,1.39614,2.68242,1.6759,0.22514,0.32555,0.18777,0.0879,1.8768,4.41833,2.44532,0.000783013,0.000783013,0.000783013
9,3647.3,1.35583,2.59963,1.63187,0.50033,0.26331,0.27528,0.12655,1.77138,3.57119,2.31089,0.000765014,0.000765014,0.000765014
10,4030.34,1.31305,2.50808,1.63427,0.31271,0.31878,0.28683,0.14713,1.73968,3.57647,2.14013,0.000747016,0.000747016,0.000747016
11,4412.04,1.34873,2.50979,1.65494,0.32479,0.27061,0.24721,0.1237,1.70021,3.42016,2.10515,0.000729018,0.000729018,0.000729018
12,4806.45,1.31933,2.36111,1.60198,0.31394,0.38817,0.30351,0.15845,1.71316,3.07212,2.10226,0.00071102,0.00071102,0.00071102
13,5254.29,1.29463,2.36581,1.58826,0.25052,0.30739,0.2192,0.10698,1.72306,3.16981,2.12618,0.000693022,0.000693022,0.000693022
14,5703.02,1.22759,2.26843,1.53759,0.35715,0.28774,0.25768,0.12591,1.67139,3.20949,2.10912,0.000675023,0.000675023,0.000675023
15,7318.92,1.268,2.24238,1.53247,0.31887,0.40183,0.31034,0.14538,1.77951,3.08963,2.30732,0.000657025,0.000657025,0.000657025
16,7770.89,1.22861,2.21055,1.52237,0.36458,0.34036,0.30367,0.15992,1.62718,2.87841,2.02833,0.000639027,0.000639027,0.000639027
17,8202.88,1.23717,2.19872,1.55535,0.34208,0.31768,0.28863,0.14521,1.73299,2.93764,2.05304,0.000621029,0.000621029,0.000621029
18,8591.41,1.1715,2.10607,1.51091,0.3568,0.38767,0.33662,0.17424,1.66448,2.87876,2.04987,0.000603031,0.000603031,0.000603031
19,8968.78,1.19629,2.05007,1.49383,0.35122,0.36276,0.29694,0.14691,1.59718,2.87385,1.98159,0.000585032,0.000585032,0.000585032
20,9393.08,1.14083,1.97848,1.494,0.67248,0.27778,0.3255,0.16108,1.7231,2.72527,2.11463,0.000567034,0.000567034,0.000567034
21,9775.28,1.16193,1.97669,1.46683,0.4293,0.36372,0.34108,0.18346,1.56038,2.68173,1.98838,0.000549036,0.000549036,0.000549036
22,10184.8,1.09681,1.86694,1.42041,0.44966,0.3988,0.38628,0.19331,1.64149,2.52716,2.02324,0.000531038,0.000531038,0.000531038
23,10571.3,1.1269,1.87718,1.44214,0.49505,0.33327,0.37782,0.19749,1.55043,2.48198,1.93931,0.00051304,0.00051304,0.00051304
24,10943.4,1.11926,1.82875,1.42806,0.52037,0.42421,0.42045,0.23609,1.5176,2.52473,1.87046,0.000495041,0.000495041,0.000495041
25,11397.5,1.12158,1.81672,1.44169,0.65477,0.37711,0.44501,0.24292,1.55112,2.42992,1.90106,0.000477043,0.000477043,0.000477043
26,11810.7,1.05611,1.76743,1.3782,0.55885,0.39982,0.43541,0.22615,1.5389,2.41939,1.87717,0.000459045,0.000459045,0.000459045
27,12207.8,1.0621,1.73831,1.42562,0.61093,0.36161,0.42919,0.23288,1.53056,2.38335,1.82671,0.000441047,0.000441047,0.000441047
28,12618.7,1.04001,1.63653,1.38123,0.49343,0.37547,0.44513,0.25038,1.496,2.20422,1.83655,0.000423049,0.000423049,0.000423049
29,13012.3,1.05367,1.63229,1.38009,0.45688,0.41993,0.42364,0.23936,1.53133,2.28738,1.88613,0.00040505,0.00040505,0.00040505
30,13400.2,1.02271,1.5729,1.36942,0.43421,0.41248,0.41834,0.22711,1.6101,2.34042,1.92427,0.000387052,0.000387052,0.000387052
